Geographic area,gwarea_tot,gwsum_bestdeaths,peaceyears,peaceyearshigh,Number of Dead,Minimum Estimated Number of Missing,Total Number of Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Internally displaced persons (IDPs),"International migrants, by country of destination",New internal displacements,"Refugees, by country of asylum","Refugees, by country of origin",coordinates,Latitude,Longitude
Papua New Guinea,15445686.741223495,2722.401498595067,325.30934911242605,802.7730177514793,28.0,0.0,28,29400.0,0.0,28.0,0.0,90800.0,63.0,153450.0,10524.0,610.0,"(-6.314993, 143.95555)",38.9607242,10.9044854
Paraguay,28060396.41994699,5160.802997190134,742.436449704142,749.5910059171598,56.0,0.0,56,56.0,28.0,28.0,0.0,1.7,266.0,137825.7,1192.0,164.0,"(-23.4425, -58.4438)",-26.94029127,-55.23607685
Peru,406667200.06462896,39919.62098033094,4749.827218934912,5501.055621301775,420.0,0.0,420,56.0,56.0,336.0,28.0,485000.0,514.0,231980.0,976360.0,3949.0,"(-9.19, -75.0152)",26.6829,-98.1144
Senegal,398279059.20651937,111643.8554480175,9330.743195266272,13281.336094674556,2912.0,13944.0,16856,33012.0,1372.0,2828.0,112.0,132600.0,509.0,175870.98,5571.0,13087.0,"(14.4974, -14.4524)",35.8894,-5.32135
Sierra Leone,61447603.10262697,24656.81049016547,2564.8033136094678,2840.253727810651,868.0,588.0,1456,840.0,168.0,1260.0,0.0,11600.0,294.0,15160.0,0.0,1577.0,"(8.4606, -11.7799)",33.44274446,12.57012788
Somalia,564985846.8216784,782173.4464564471,13441.064378698225,15769.872426035503,2716.0,1428.0,4144,38220.0,784.0,588.0,280.0,14200000.0,298.0,4706500.0,6397.0,374347.0,"(5.1521, 46.1996)",34.5645,16.0
South Sudan,7073126.875,17130.0,242.6186982248521,285.5460355029586,12.0,6.0,18,1266.0,0.0,12.0,0.0,8810000.0,616.0,3950000.0,188130.0,1348041.0,"(6.877, 31.307)",32.95551507,13.37212983
Sri Lanka,60891067.06356447,210044.81049016546,2836.023905325444,3311.8018934911242,224.0,0.0,224,84.0,28.0,112.0,0.0,412200.0,57.0,1102500.0,157.0,148082.0,"(7.8731, 80.7718)",41.19936863,26.39976402
Sudan,3482101330.707986,3711794.513893225,43024.382485207105,50636.83029585799,5040.0,1596.0,6636,37212.0,280.0,2464.0,644.0,20780000.0,2687.0,2834000.0,529803.0,447702.0,"(12.8628, 30.2176)",59.1551,28.0
Togo,16815350.31057199,6032.802997190134,868.0,1820.0,56.0,0.0,56,0.0,0.0,56.0,0.0,34110.0,563.0,37426.0,4041.0,7853.0,"(8.6195, 0.8248)",44.920683174,6.673599624
Tunisia,559300384.5085157,147806.48392132376,33712.0,50960.0,4116.0,9940.0,14056,17332.0,504.0,1148.0,560.0,43.0,57.0,5145.0,1245.0,2667.0,"(33.8869, 9.5375)",35.6439601,10.946794
Ukraine,208241397.091309,104939.0886668748,4077.5107692307693,4217.024615384616,442.0,182.0,624,884.0,156.0,338.0,26.0,2520000.0,3035.0,3421471.0,183.0,2016210.0,"(48.3794, 31.1656)",26.143064684,-98.330164834
Uruguay,10496391.475598495,2580.401498595067,826.0,910.0,28.0,28.0,56,28.0,28.0,0.0,28.0,0.0,103.0,18639.0,6284.0,68.0,"(-32.5228, -55.7658)",29.30968361,-100.900577
Uzbekistan,26501252.889047537,4922.4751795192005,315.30934911242605,732.7730177514793,1378.0,0.0,1378,130.0,0.0,26.0,0.0,7200.0,926.0,24059.0,13026.0,1014.0,"(41.3775, 64.5853)",49.0648541,57.8601087
Yemen,227099889.71210244,291261.022478926,4694.460355029586,5177.392899408284,364.0,84.0,448,280.0,0.0,448.0,0.0,12750000.0,525.0,2743000.0,20005.0,10797.0,"(15.5527, 48.5164)",35.320439624,-2.948396983
Zimbabwe,83834589.32234098,17012.408991570403,3780.0,3780.0,756.0,84.0,840,140.0,28.0,252.0,28.0,31390.0,568.0,75360.0,5109.0,1055.0,"(-19.0154, 29.1549)",-23.8148,32.0
